transaction_id,date,amount,currency,transaction_type,description
49119215,2023-07-25,450.0,GBP,transfer,Transfer to charity organization for donation
55481071,2022-05-01,150.23,USD,debit,Purchased a new laptop online.
67567570,2021-06-15,500.0,EUR,debit,Withdrew cash for a trip to Italy.
92588113,2023-02-20,2000.0,USD,transfer,Sent money to a friend for a shared expense.
58522306,2021-11-09,1000.0,GBP,debit,Bought groceries at a local store.
87497240,2022-08-12,250.0,USD,credit,Deposited a refund check.
63563776,2023-03-25,700.0,CAD,transfer,Sent money to a relative for a birthday gift.
92885428,2022-03-15,125.67,USD,debit,Purchased groceries at Whole Foods Market.
84929765,2023-01-02,200.0,EUR,credit,Received salary payment from employer.
52997544,2021-12-31,50.0,USD,transfer,Sent money to a friend for a birthday gift.
91122199,2022-06-18,150.0,GBP,debit,Bought tickets for a soccer match.
12377490,2023-07-04,300.0,JPY,credit,Received a refund from a previous purchase.
75905056,2021-09-25,75.0,USD,transfer,Sent money to a charity organization.
77646534,2022-11-11,100.0,CNY,debit,Bought a new laptop.
33174485,2023-02-24,250.0,USD,credit,Received a bonus from work.
57622501,2021-11-07,150.0,USD,transfer,Sent money to a family member for help.
94334325,2022-07-16,120.0,USD,debit,Bought clothes at H&M.
85596706,2023-04-10,200.0,USD,credit,Received a tax refund.
82108761,2021-06-12,100.0,USD,debit,Bought movie tickets.
34378030,2023-12-25,500.0,USD,credit,Received a holiday bonus.
92394020,2022-02-05,150.0,USD,transfer,Sent money to a family member for a wedding gift.
23111202,2021-03-03,100.0,USD,debit,Bought books at Barnes & Noble.
31711544,2023-09-01,250.0,USD,credit,Received a commission from a sale.
96355289,2022-10-15,150.0,USD,transfer,Sent money to a charity organization.
47943829,2021-07-22,75.0,USD,debit,Bought a meal at a restaurant.
57958776,2023-01-09,200.0,USD,credit,Received a refund from a returned item.
80852706,2022-05-01,120.0,USD,transfer,Sent money to a friend for a loan.
21458127,2023-07-10,250.0,USD,credit,Received a bonus from work.
44457713,2022-09-18,150.0,USD,transfer,Sent money to a family member for a birthday gift.
57204430,2021-12-25,100.0,USD,debit,Bought holiday decorations.
29464628,2023-02-05,150.0,USD,credit,Received a tax refund.
97297235,2022-06-12,200.0,USD,transfer,Sent money to a charity organization.
88095922,2021-04-10,125.0,USD,debit,Bought concert tickets.
62791581,2023-11-24,100.0,USD,credit,Received a commission from a sale.
65821458,2021-06-01,125.33,USD,debit,Purchase of electronics from Amazon
64015506,2022-11-15,5000.0,EUR,transfer,Transfer to a family member in Spain
48478436,2023-02-20,200.99,GBP,debit,Withdrawal at an ATM in London
45712238,2021-07-12,1500.0,USD,credit,Deposit of tax refund
18887256,2022-03-28,187.5,CAD,debit,Gas station purchase in Vancouver
29588566,2023-09-05,300.0,JPY,transfer,Transfer to a business partner in Japan
91446688,2022-12-22,250.0,GBP,debit,Payment for a holiday in the UK
43882036,2023-01-03,400.0,USD,credit,Deposit of salary
50375533,2021-01-15,100.0,USD,debit,Purchase of groceries from Walmart
13945174,2022-07-01,200.0,EUR,debit,Payment for a hotel in Paris
11756227,2023-04-10,150.0,GBP,transfer,Transfer to a friend in Scotland
54686671,2021-08-25,350.0,USD,debit,Withdrawal for a vacation in the US
85804260,2022-11-01,600.0,CAD,credit,Deposit of bonus from work
70004865,2023-02-15,250.0,JPY,debit,Payment for a trip to Japan
17610607,2021-12-05,80.0,USD,transfer,Transfer to a family member in Mexico
14346643,2022-04-20,1000.0,USD,credit,Deposit of investment earnings
82349131,2023-06-01,125.33,USD,debit,Purchase of electronics from Amazon
32912546,2023-11-15,5000.0,EUR,transfer,Transfer to a family member in Spain
60350823,2023-02-20,200.99,GBP,debit,Withdrawal at an ATM in London
60341198,2023-07-12,1500.0,USD,credit,Deposit of tax refund
55736419,2023-03-28,187.5,CAD,debit,Gas station purchase in Vancouver
10079434,2023-09-05,300.0,JPY,transfer,Transfer to a business partner in Japan
86687379,2023-12-22,250.0,GBP,debit,Payment for a holiday in the UK
69599388,2023-01-03,400.0,USD,credit,Deposit of salary
34069974,2023-01-15,100.0,USD,debit,Purchase of groceries from Walmart
65128468,2023-07-01,200.0,EUR,debit,Payment for a hotel in Paris
11536729,2023-04-10,150.0,GBP,transfer,Transfer to a friend in Scotland
23812957,2023-08-25,350.0,USD,debit,Withdrawal for a vacation in the US
92549809,2023-11-01,600.0,CAD,credit,Deposit of bonus from work
50255872,2023-02-15,250.0,JPY,debit,Payment for a trip to Japan
66282330,2023-12-05,80.0,USD,transfer,Transfer to a family member in Mexico
69968931,2023-04-20,1000.0,USD,credit,Deposit of investment earnings
38931582,2023-01-15,750.0,EUR,transfer,Transfer of funds to cover tuition fees for a semester abroad.
12859426,2021-11-27,45.21,USD,debit,Purchase of groceries at local supermarket.
90554683,2022-02-03,100.0,GBP,credit,Deposit of salary into checking account.
14117180,2023-07-10,500.0,JPY,transfer,Transfer of funds to cover cost of flight tickets.
86475477,2022-08-15,150.0,USD,debit,Withdrawal of cash for weekend trip.
60085287,2021-03-01,200.0,CAD,credit,Deposit of tax refund into savings account.
82340787,2023-12-20,300.0,USD,transfer,Transfer of funds to cover holiday gifts.
61325512,2022-11-28,75.0,USD,debit,Purchase of clothing items.
70161723,2021-07-05,120.0,USD,credit,Deposit of rent payment into landlord's account.
18973152,2023-02-14,150.0,USD,debit,Withdrawal of cash for dinner with friends.
47829744,2022-09-22,200.0,USD,credit,Deposit of bonus check from work.
61392323,2021-10-01,50.0,USD,debit,Purchase of books for research project.
77761841,2023-05-05,250.0,USD,transfer,Transfer of funds to cover medical expenses.
27853240,2022-12-17,100.0,USD,debit,Withdrawal of cash for holiday shopping.
87965422,2021-01-10,300.0,USD,credit,Deposit of tax refund into savings account.
59378852,2023-08-01,400.0,USD,transfer,Transfer of funds to cover wedding expenses.
18291325,2022-04-15,150.0,USD,debit,Purchase of computer equipment.
20300802,2021-06-20,250.0,USD,credit,Deposit of salary into checking account.
40294783,2023-07-03,100.0,USD,debit,Withdrawal of cash for weekend getaway.
18233247,2022-11-24,300.0,USD,credit,Deposit of holiday bonus check from work.
33271376,2021-02-01,80.0,USD,debit,Purchase of movie tickets.
62273473,2023-06-10,200.0,USD,transfer,Transfer of funds to cover car repair.
20832598,2022-03-15,120.0,USD,debit,Purchase of gym membership.
58525192,2021-12-20,400.0,USD,credit,Deposit of Christmas bonus check from work.
23614675,2023-09-01,500.0,USD,transfer,Transfer of funds to cover moving expenses.
62510528,2022-07-15,180.0,USD,debit,Withdrawal of cash for vacation.
20798303,2021-08-05,350.0,USD,credit,Deposit of salary into checking account.
80021809,2023-08-10,150.0,USD,debit,Withdrawal of cash for dinner with family.
68849963,2022-06-15,250.56,USD,debit,Purchase of groceries from local supermarket.
70964928,2023-02-28,1200.0,EUR,transfer,Transfer to sister's account in Germany.
59285727,2021-10-01,5000.0,JPY,debit,Withdrawal of savings for vacation in Japan.
27556611,2022-07-12,300.0,GBP,debit,Payment for online course from UK provider.
58531747,2023-01-05,750.0,USD,debit,Withdrawal of cash from ATM in New York.
77138147,2022-03-25,2000.0,CAD,transfer,Transfer to friend's account in Canada.
96230712,2021-12-10,1000.0,CHF,debit,Payment for hotel booking in Switzerland.
72339009,2022-04-20,450.0,USD,debit,Withdrawal of cash from ATM in Los Angeles.
90549989,2023-07-01,600.0,EUR,transfer,Transfer to parents' account in Spain.
39598377,2021-08-15,800.0,GBP,debit,Payment for flight ticket from UK to India.
57290465,2022-09-01,1500.0,USD,debit,Withdrawal of cash from ATM in Las Vegas.
48235484,2023-05-10,900.0,CAD,transfer,Transfer to friend's account in Toronto.
69900215,2021-11-05,1200.0,CHF,debit,Payment for car rental in Switzerland.
87774917,2022-02-12,550.0,USD,debit,Withdrawal of cash from ATM in Miami.
71727837,2023-06-25,1800.0,EUR,transfer,Transfer to parents' account in Italy.
64492205,2021-02-20,1000.0,GBP,debit,Payment for online course from UK provider.
84467944,2022-07-25,150.0,USD,debit,Withdrawal of cash from ATM in Chicago.
94318981,2021-10-03,600.0,CHF,debit,Payment for hotel booking in Switzerland.
74505892,2022-11-15,700.0,USD,debit,Withdrawal of cash from ATM in New York.
74012037,2023-03-20,1000.0,EUR,transfer,Transfer to sister's account in Germany.
94183343,2021-06-01,400.0,GBP,debit,Payment for flight ticket from UK to France.
98436162,2022-08-10,800.0,USD,debit,Withdrawal of cash from ATM in Los Angeles.
52672509,2023-04-15,1200.0,CAD,transfer,Transfer to friend's account in Montreal.
15635835,2021-09-25,1500.0,CHF,debit,Payment for car rental in Switzerland.
49737997,2022-12-05,650.0,USD,debit,Withdrawal of cash from ATM in Las Vegas.
84239837,2023-01-12,1800.0,EUR,transfer,Transfer to parents' account in Spain.
17743520,2022-05-10,300.0,USD,debit,Withdrawal of cash from ATM in Chicago.
48343168,2023-02-25,1000.0,CAD,transfer,Transfer to friend's account in Toronto.
78451021,2021-07-20,1200.0,CHF,debit,Payment for hotel booking in Switzerland.
38510287,2022-10-05,500.0,USD,debit,Withdrawal of cash from ATM in Miami.
90174461,2023-06-15,1500.0,EUR,transfer,Transfer to parents' account in Italy.
96827656,2021-01-01,800.0,GBP,debit,Payment for flight ticket from UK to India.
23735327,2021-06-01,123.45,USD,debit,Paid for gym membership
82358069,2023-01-15,5000.0,EUR,transfer,Sent money to family in Germany
29128653,2021-11-20,25.12,USD,debit,Bought groceries
85191007,2023-04-12,100.5,GBP,credit,Deposited paycheck
79292822,2021-08-25,3000.0,CNY,transfer,Transferred funds to Chinese business partner
51341281,2023-07-09,45.67,USD,debit,Bought movie tickets
83494441,2021-12-17,150.0,USD,debit,Paid rent
98525475,2022-03-03,750.0,USD,transfer,Sent money to friend for loan repayment
29853467,2022-09-21,10.99,USD,debit,Bought books
97110244,2023-02-05,500.0,USD,credit,Deposited tax refund
57570929,2023-08-14,22.5,USD,debit,Bought coffee
63873394,2021-04-10,800.0,USD,transfer,Sent money to sister for wedding expenses
41887329,2022-10-28,120.0,USD,debit,Paid utility bill
83228997,2023-01-10,350.0,USD,transfer,Sent money to mother for holiday gift
24577854,2021-07-15,55.0,USD,debit,Bought clothes
84483031,2022-11-22,175.0,USD,debit,Paid for car maintenance
99989937,2023-06-01,100.0,USD,debit,Bought groceries
40979284,2021-09-10,1500.0,USD,transfer,Sent money to brother for tuition fees
26347997,2022-02-01,65.0,USD,credit,Deposited paycheck
30306491,2023-07-15,250.0,USD,debit,Bought electronics
98806484,2021-12-25,1000.0,USD,debit,Paid for holiday gifts
47015332,2022-05-03,75.0,USD,transfer,Sent money to friend for shared expenses
94982345,2023-09-18,50.0,USD,debit,Bought gasoline
49151878,2021-01-05,1200.0,USD,credit,Deposited tax refund
12835616,2022-08-10,40.0,USD,transfer,Sent money to charity
49223567,2023-12-20,300.0,USD,debit,Bought Christmas decorations
51479586,2021-06-01,150.0,USD,debit,Paid for gym membership
76850107,2023-01-15,5000.0,EUR,transfer,Sent money to family in Germany
17885884,2021-11-20,25.12,USD,debit,Bought groceries
80788507,2023-04-12,100.5,GBP,credit,Deposited paycheck
52885154,2022-03-15,125.67,USD,debit,Payment for monthly rent.
52909564,2023-01-02,100.5,EUR,debit,Grocery shopping in Berlin.
80084645,2022-07-07,500.0,USD,credit,Deposit of tax refund.
47134990,2021-11-11,250.0,GBP,transfer,Transfer to a friend's account in London.
92386601,2023-06-16,75.0,JPY,debit,Withdrawal for sushi in Tokyo.
50558071,2022-12-25,300.0,USD,credit,Christmas bonus from work.
38839596,2021-09-01,150.0,USD,debit,Payment for new laptop.
27450862,2023-02-14,40.0,USD,debit,Valentine's Day dinner.
79982935,2023-04-01,200.0,USD,credit,Salary deposit from new job.
98280703,2022-08-15,150.0,EUR,debit,Payment for summer vacation in Spain.
30832138,2021-12-20,500.0,USD,transfer,Transfer to charity organization.
71692050,2023-07-01,100.0,JPY,debit,Withdrawal for souvenirs in Kyoto.
18199267,2022-02-14,250.0,GBP,debit,Payment for new smartphone.
90641687,2021-06-01,300.0,USD,credit,Bonus for completing project.
86956082,2023-11-20,125.0,USD,debit,Payment for health insurance.
53319538,2022-05-05,100.0,USD,transfer,Transfer to family member.
57810635,2023-09-10,75.0,CAD,debit,Withdrawal for Canadian maple syrup.
48105125,2021-10-12,250.0,USD,debit,Payment for new furniture.
73620061,2022-11-22,40.0,USD,debit,Payment for Thanksgiving dinner.
21731187,2023-03-03,150.0,USD,debit,Payment for car maintenance.
61283649,2021-07-07,100.0,USD,debit,Payment for summer clothes.
58002225,2022-12-25,300.0,USD,credit,Christmas bonus from work.
12198019,2023-01-01,50.0,USD,debit,Payment for New Year's Eve party.
88067095,2023-04-15,150.0,USD,debit,Payment for spring break vacation.
71413174,2022-06-20,500.0,USD,credit,Bonus for project completion.
52909232,2021-11-25,300.0,USD,debit,Payment for Thanksgiving dinner.
91415672,2022-09-10,75.0,USD,debit,Payment for school supplies.
31817840,2023-07-04,125.0,USD,debit,Payment for Independence Day celebration.
41906764,2022-04-20,200.5,EUR,debit,Grocery store purchase
25574773,2023-01-02,5000.0,USD,transfer,Transfer to savings account
39450138,2021-12-31,35.99,CAD,debit,Gas station fill-up
47691116,2023-02-28,75.32,JPY,debit,Convenience store purchase
77037071,2022-03-15,25.99,USD,debit,Paid for groceries online.
51933584,2023-02-27,100.5,EUR,debit,Withdrew cash from an ATM in Paris.
31915697,2021-11-12,50.0,USD,transfer,Sent money to a friend.
33360663,2022-06-04,75.25,JPY,credit,Deposited travel money in Japan.
52908931,2023-01-09,20.0,GBP,debit,Purchased tickets to a theater show in London.
94024343,2022-09-16,120.0,USD,transfer,Sent a down payment for a car.
82995915,2021-07-22,35.0,USD,credit,Refund from a returned product.
52206254,2023-04-01,45.5,CAD,debit,Paid for a hotel room in Vancouver.
43674279,2022-12-20,150.0,USD,credit,Received a bonus from work.
64828981,2021-02-05,10.5,USD,debit,Bought a coffee.
39376131,2023-08-11,60.0,USD,transfer,Sent a gift to a family member.
97522153,2023-01-20,120.0,USD,debit,Paid for a gym membership.
35069418,2022-06-25,50.0,EUR,debit,Withdrew cash from an ATM in Berlin.
72784460,2021-10-18,150.0,USD,transfer,Sent a loan payment.
15356906,2023-02-03,80.0,JPY,credit,Deposited travel money in Tokyo.
57198289,2022-01-06,20.0,GBP,debit,Purchased tickets to a museum in London.
43281234,2021-08-15,100.0,USD,transfer,Sent a down payment for a house.
81042036,2022-09-28,30.0,USD,credit,Refund from a returned product.
43859270,2023-05-04,55.0,CAD,debit,Paid for a flight ticket to Toronto.
73278990,2022-11-17,180.0,USD,credit,Received a bonus from work.
71347257,2023-03-10,70.0,USD,debit,Bought a book.
29106129,2022-07-01,100.0,EUR,transfer,Sent a gift to a friend.
26797383,2021-03-12,40.0,USD,credit,Refund from a returned product.
64859971,2023-06-15,120.0,JPY,debit,Withdrew cash from an ATM in Kyoto.
77344753,2022-12-23,25.0,GBP,debit,Paid for a Christmas present.
29740325,2021-11-26,80.0,USD,transfer,Sent a loan payment.
27923805,2022-05-09,90.0,USD,credit,Deposited a tax refund.
93256134,2023-02-18,65.0,CAD,debit,Bought a winter coat.
23264384,2022-04-22,150.0,USD,credit,Received a salary payment.
13418397,2022-10-28,120.78,EUR,debit,Grocery shopping at local market.
52119580,2023-02-01,350.12,GBP,transfer,Transfer to friend's account for rent.
41577354,2021-09-15,100.0,USD,credit,Deposit of monthly salary.
90811929,2022-06-22,220.99,USD,debit,Gas station refueling.
63697384,2023-07-09,400.5,USD,transfer,Transfer to savings account.
49520322,2022-11-03,2400.0,EUR,transfer,Transfer to cover rent payment for Berlin apartment
15134813,2023-02-17,500.0,USD,debit,Groceries purchase at local supermarket
50617614,2021-08-01,75.99,USD,credit,Deposit of work bonus from freelance project
86229024,2022-09-28,1000.0,GBP,transfer,Transfer to cover tuition fees for UK university
98130921,2023-05-04,350.0,USD,debit,Gasoline refill at nearby gas station
54580365,2022-03-16,600.0,USD,transfer,Transfer to cover car insurance premium
94820508,2023-07-09,120.0,USD,debit,Payment for monthly gym membership
34871894,2021-04-22,400.0,USD,credit,Deposit of work bonus from full-time job
81882159,2022-10-01,2000.0,USD,transfer,Transfer to cover down payment on new home
91363972,2023-06-15,1500.0,USD,debit,Payment for summer vacation travel expenses
37386800,2021-07-01,300.0,USD,credit,Deposit of work bonus from freelance project
65154447,2022-11-15,1000.0,USD,transfer,Transfer to cover student loan payment
18908103,2023-01-03,80.0,USD,debit,Payment for monthly phone bill
19228984,2021-09-01,1200.0,USD,credit,Deposit of work bonus from full-time job
90583675,2022-02-16,750.0,USD,transfer,Transfer to cover rent payment for San Francisco apartment
78304463,2023-04-04,200.0,USD,debit,Payment for monthly utility bill
77957702,2021-12-12,1000.0,USD,credit,Deposit of work bonus from freelance project
97460368,2022-07-01,500.0,USD,transfer,Transfer to cover credit card bill payment
45788454,2023-10-15,1500.0,USD,debit,Payment for monthly rent
54030840,2021-05-03,250.0,USD,credit,Deposit of work bonus from full-time job
54402649,2022-11-01,1200.0,USD,transfer,Transfer to cover student loan payment
22552071,2023-02-15,600.0,USD,debit,Payment for monthly car insurance premium
99715981,2021-08-01,1000.0,USD,credit,Deposit of work bonus from freelance project
58611014,2022-03-16,800.0,USD,transfer,Transfer to cover tuition fees for online course
96975862,2023-06-03,300.0,USD,debit,Payment for monthly gym membership
13228861,2021-12-12,1500.0,USD,credit,Deposit of work bonus from full-time job
96730719,2022-09-01,1200.0,USD,transfer,Transfer to cover rent payment for Berlin apartment
13951027,2023-01-15,400.0,USD,debit,Payment for monthly utility bill
19285127,2021-03-05,125.34,USD,debit,Purchase of groceries from local supermarket.
73702900,2022-08-10,5000.0,EUR,transfer,Transfer of funds to family member in Germany.
64437915,2023-01-22,2500.0,USD,credit,Deposit of tax refund into personal account.
53995365,2021-06-18,1000.0,GBP,debit,Withdrawal of cash for weekend trip to London.
12216008,2022-11-24,1500.0,CNY,transfer,Transfer of funds to friend in Beijing for shared expenses.
47682107,2023-07-09,3000.0,USD,credit,Deposit of bonus from work into personal account.
62059418,2021-10-03,4000.0,JPY,debit,Withdrawal of cash for vacation in Japan.
73235730,2022-04-15,2000.0,USD,transfer,Transfer of funds to sister in New York for shared expenses.
88439554,2023-02-27,10000.0,USD,credit,Deposit of inheritance into personal account.
36382496,2021-07-22,6000.0,USD,debit,Withdrawal of cash for car purchase.
70669847,2022-11-11,7500.0,USD,transfer,Transfer of funds to friend for shared apartment rent.
36782230,2023-06-01,5000.0,USD,credit,Deposit of freelance work payment into personal account.
94657375,2021-12-18,8000.0,USD,debit,Withdrawal of cash for holiday travel.
80470491,2022-09-09,9000.0,USD,transfer,Transfer of funds to family member for medical expenses.
91334118,2023-03-24,12000.0,USD,credit,Deposit of business loan into personal account.
28282831,2021-05-05,3000.0,USD,debit,Withdrawal of cash for home renovation.
36162529,2022-12-12,10000.0,USD,transfer,Transfer of funds to friend for shared expenses.
23463129,2023-08-18,6000.0,USD,credit,Deposit of tax refund into personal account.
13349913,2021-09-01,4000.0,USD,debit,Withdrawal of cash for vacation.
63225470,2022-02-15,8000.0,USD,transfer,Transfer of funds to family member for shared expenses.
85388230,2023-01-20,15000.0,USD,credit,Deposit of business loan into personal account.
73523927,2021-11-28,2000.0,USD,debit,Withdrawal of cash for groceries.
72931043,2022-06-14,12000.0,USD,transfer,Transfer of funds to friend for shared expenses.
83479567,2023-07-03,10000.0,USD,credit,Deposit of freelance work payment into personal account.
93188443,2021-08-08,5000.0,USD,debit,Withdrawal of cash for car purchase.
54099063,2022-10-23,15000.0,USD,transfer,Transfer of funds to family member for medical expenses.
22393190,2023-04-01,7000.0,USD,credit,Deposit of tax refund into personal account.
55272848,2021-02-12,12000.0,USD,debit,Withdrawal of cash for vacation.
12111737,2021-08-15,54.98,USD,debit,Purchased groceries at local supermarket.
85810578,2022-10-23,2000.5,EUR,credit,Received salary payment from employer.
55121167,2023-01-07,35.2,GBP,transfer,Transferred funds to savings account.
45639899,2021-11-11,125.6,USD,debit,Dined at Italian restaurant with friends.
98711856,2022-03-25,876.35,JPY,credit,Deposited sales revenue from online store.
79505200,2023-05-10,102.9,USD,transfer,Transferred funds to friend for repayment of loan.
36663067,2021-06-28,45.2,USD,debit,Bought books and stationery at school store.
36856323,2022-12-18,2200.0,USD,credit,Received holiday bonus from work.
94247150,2023-02-15,150.0,USD,transfer,Transferred funds to spouse's account.
99582598,2021-04-03,18.99,USD,debit,Bought movie tickets online.
97337488,2022-09-09,765.0,USD,credit,Deposited freelance work payment.
18631138,2023-06-22,250.0,USD,transfer,Transferred funds to daughter's college account.
49939228,2021-07-12,120.0,USD,debit,Bought clothes at department store.
11293927,2022-11-24,3000.0,USD,credit,Received tax refund.
85969420,2023-07-05,100.0,USD,transfer,Transferred funds to friend for gift.
82722230,2021-02-16,200.0,USD,debit,Bought concert tickets online.
71522552,2022-01-02,1500.0,USD,credit,Received inheritance from deceased relative.
92518705,2023-08-10,50.0,USD,transfer,Transferred funds to charity.
81935165,2021-12-25,1000.0,USD,credit,Received holiday bonus from work.
58816088,2022-04-15,250.0,USD,debit,Bought tickets for family vacation.
65872358,2023-03-01,100.0,USD,credit,Deposited refund from insurance claim.
44545280,2021-09-10,50.0,USD,transfer,Transferred funds to friend for gift.
12319421,2022-11-20,150.0,USD,debit,Bought groceries at local supermarket.
65879991,2023-05-05,1000.0,USD,credit,Received salary payment from employer.
34486612,2021-06-12,250.0,USD,transfer,Transferred funds to spouse's account.
69620278,2022-07-22,50.0,USD,debit,Bought books at bookstore.
30891679,2023-02-01,1000.0,USD,credit,Received tax refund.
63396884,2021-10-08,50.0,USD,transfer,Transferred funds to charity.
17833501,2022-12-15,150.0,USD,debit,Bought Christmas presents for family.
44285235,2022-08-23,125.43,EUR,debit,Groceries purchase at local market in Barcelona
60918802,2023-10-01,320.0,USD,debit,Payment for new laptop from Amazon
32533990,2021-02-12,67.89,GBP,transfer,Transfer of funds to savings account
41879020,2023-01-07,150.0,USD,debit,Cash withdrawal for weekend trip to New York City
80640232,2021-07-16,200.0,USD,debit,Payment for summer clothing from local retailer in Los Angeles
90451876,2023-02-25,100.0,USD,transfer,Transfer of funds to checking account
45203697,2022-11-11,78.9,JPY,debit,Purchase of train ticket for travel in Tokyo
77782135,2021-03-22,115.0,USD,debit,Payment for gym membership
26578264,2023-04-14,50.0,USD,debit,Withdrawal of cash for weekend outing
28033418,2022-05-20,250.0,USD,debit,Payment for furniture purchase from local store in Chicago
78434228,2021-09-03,120.0,USD,transfer,Transfer of funds to savings account
28974069,2023-06-10,80.0,USD,debit,Cash withdrawal for grocery shopping
18937488,2022-12-22,150.0,USD,debit,Payment for Christmas gifts
77910609,2021-11-18,300.0,USD,debit,Payment for home renovation project
59300024,2023-07-04,100.0,USD,transfer,Transfer of funds to checking account
57046523,2022-07-01,60.0,USD,debit,Withdrawal of cash for weekend outing
79911935,2021-10-25,180.0,USD,debit,Payment for vacation rental in Hawaii
79735504,2023-03-15,90.0,USD,debit,Cash withdrawal for weekly groceries
30156328,2022-02-05,200.0,USD,debit,Payment for car insurance
50375127,2021-08-20,75.0,USD,transfer,Transfer of funds to savings account
53164186,2023-01-10,110.0,USD,debit,Withdrawal of cash for gasoline
59520721,2022-06-01,150.0,USD,debit,Payment for home mortgage
98340457,2021-04-15,120.0,USD,transfer,Transfer of funds to checking account
18644207,2023-02-20,80.0,USD,debit,Cash withdrawal for weekly groceries
33393936,2022-11-05,250.0,USD,debit,Payment for holiday travel
62734069,2021-07-22,100.0,USD,transfer,Transfer of funds to savings account
57138195,2023-05-03,130.0,USD,debit,Withdrawal of cash for home repairs
61370229,2022-10-15,200.99,EUR,debit,Grocery shopping at local supermarket.
55126079,2023-01-03,125.67,USD,debit,Paying rent for an apartment.
92536365,2021-12-27,110.0,GBP,transfer,Sending money to a friend in the UK.
62697972,2022-07-12,300.0,USD,debit,Buying gasoline for a car.
27639159,2023-06-08,150.0,CNY,debit,Paying for a meal at a restaurant.
52148992,2023-01-20,2000.0,EUR,transfer,Transfer to partner for joint business project.
37258973,2022-08-12,100.5,USD,debit,Gas station fill-up for personal vehicle.
23339402,2023-07-09,75.35,GBP,debit,Withdrawal for grocery shopping at local supermarket.
62307952,2023-02-28,3000.0,JPY,transfer,Transfer to Japanese business partner for consulting fees.
14738219,2021-06-05,25.0,USD,debit,Withdrawal for coffee at local café.
18249795,2023-05-13,45.0,USD,debit,Withdrawal for lunch at local restaurant.
29894716,2023-07-15,50.0,USD,debit,Withdrawal for movie ticket purchase.
43408403,2023-09-05,75.0,USD,debit,Withdrawal for groceries at local supermarket.
51685218,2023-11-15,100.0,USD,transfer,Transfer to friend for loan repayment.
98182433,2023-12-20,200.0,USD,debit,Withdrawal for holiday shopping.
60731438,2024-02-10,50.0,USD,debit,Withdrawal for lunch at local restaurant.
94620934,2024-04-20,75.0,USD,debit,Withdrawal for groceries at local supermarket.
60205393,2024-06-09,100.0,USD,transfer,Transfer to friend for loan repayment.
77736770,2024-07-14,200.0,USD,debit,Withdrawal for holiday shopping.
78821753,2024-09-05,50.0,USD,debit,Withdrawal for lunch at local restaurant.
25707412,2024-11-15,75.0,USD,debit,Withdrawal for groceries at local supermarket.
29563720,2022-01-02,123.45,USD,debit,Purchased groceries from local store.
93543632,2023-12-31,500.0,EUR,transfer,Sent money to family in Spain for Christmas.
66493761,2021-07-15,25.0,USD,debit,Withdrew cash for bus fare.
18760270,2022-09-01,100.99,USD,credit,Deposited paycheck into account.
98920166,2023-02-28,300.0,USD,transfer,Sent money to friend for shared expenses.
45096425,2021-11-27,50.0,CAD,debit,Bought winter coat in Canada.
52657883,2022-04-14,200.5,USD,debit,Paid utility bill online.
55917308,2023-08-05,150.0,GBP,transfer,Sent money to friend in UK for travel expenses.
11069373,2021-03-12,75.0,USD,debit,Withdrew cash for parking meter.
75599766,2022-10-01,150.0,USD,credit,Deposited freelance income.
97523088,2023-06-15,200.0,USD,transfer,Sent money to family for birthday gifts.
48562464,2021-08-03,100.0,USD,debit,Purchased books from online store.
18637833,2022-12-20,500.0,USD,transfer,Sent money to parents for holiday expenses.
25292262,2023-01-05,250.0,USD,debit,Withdrew cash for travel expenses.
99357644,2021-06-18,30.0,USD,credit,Deposited refund from store.
27860462,2022-11-09,100.0,USD,transfer,Sent money to friend for shared expenses.
97141770,2023-07-20,250.0,USD,debit,Withdrew cash for concert tickets.
75814287,2021-10-12,50.0,USD,debit,Paid rent online.
58207754,2022-02-01,400.0,USD,transfer,Sent money to sibling for moving expenses.
26333383,2023-09-15,150.0,USD,credit,Deposited paycheck into account.
18281998,2021-12-27,100.0,USD,transfer,Sent money to friend for shared expenses.
38172512,2022-05-10,75.0,USD,debit,Withdrew cash for groceries.
50031392,2023-04-01,300.0,USD,credit,Deposited tax refund.
39208154,2021-02-15,100.0,USD,transfer,Sent money to parents for holiday expenses.
87682552,2022-07-22,50.0,USD,debit,Withdrew cash for movie tickets.
22267736,2023-11-03,200.0,USD,debit,Paid utility bill online.
74988411,2021-09-08,150.0,USD,transfer,Sent money to friend for shared expenses.
35068044,2022-12-25,100.0,USD,debit,Withdrew cash for holiday shopping.
60642426,2023-06-01,400.0,USD,credit,Deposited paycheck into account.
62789567,2022-11-28,2500.0,EUR,debit,Purchase of a new laptop from a local electronics store.
59123733,2023-03-12,1200.0,USD,transfer,Transfer of funds from personal account to investment account.
15580241,2022-08-01,7500.0,CNY,debit,Payment for a family vacation to China.
62294249,2021-12-20,50.0,USD,debit,Gasoline purchase at a local station.
61198452,2023-07-05,1000.0,GBP,transfer,Transfer of funds from UK bank account to a friend in India.
68915105,2022-02-14,2000.0,USD,debit,Payment for a new smartphone from a mobile carrier.
61762045,2021-09-01,3000.0,CAD,debit,Payment for a new car from a dealership in Canada.
35713057,2023-01-05,1500.0,USD,transfer,Transfer of funds from personal account to a savings account.
